iter	Passed	Remaining
0	5	5243
1	9	4868
2	14	4835
3	19	4785
4	32	6443
5	37	6155
6	43	6108
7	48	5966
8	53	5910
9	59	5899
10	66	5949
11	71	5870
12	76	5835
13	82	5826
14	87	5766
15	95	5865
16	99	5741
17	102	5611
18	109	5656
19	115	5674
20	120	5636
21	125	5599
22	129	5519
23	134	5449
24	137	5343
25	140	5248
26	144	5193
27	150	5209
28	158	5304
29	163	5296
30	167	5232
31	170	5171
32	174	5105
33	177	5051
34	181	4993
35	184	4941
36	187	4887
37	191	4843
38	194	4794
39	197	4749
40	201	4706
41	204	4665
42	208	4631
43	211	4588
44	213	4539
45	216	4494
46	219	4449
47	222	4406
48	225	4367
49	227	4329
50	230	4293
51	233	4258
52	236	4224
53	239	4190
54	242	4162
55	245	4130
56	247	4100
57	250	4070
58	253	4039
59	256	4018
60	259	3992
61	262	3966
62	264	3939
63	267	3912
64	270	3888
65	273	3866
66	276	3844
67	278	3822
68	281	3801
69	284	3778
70	287	3759
71	290	3740
72	292	3720
73	295	3701
74	298	3682
75	301	3663
76	304	3647
77	307	3632
78	309	3614
79	312	3597
80	315	3578
81	318	3565
82	321	3555
83	324	3542
84	327	3527
85	330	3513
86	333	3498
87	336	3486
88	339	3472
89	341	3457
90	344	3443
91	347	3430
92	350	3420
93	354	3414
94	357	3402
95	360	3394
96	363	3382
97	366	3370
98	369	3359
99	371	3347
100	374	3335
101	377	3323
102	380	3311
103	384	3309
104	387	3301
105	390	3295
106	394	3288
107	397	3280
108	400	3272
109	403	3261
110	405	3249
111	408	3238
112	411	3229
113	414	3220
114	417	3211
115	420	3202
116	423	3193
117	426	3186
118	429	3176
119	432	3168
120	434	3158
121	437	3148
122	440	3138
123	442	3129
124	445	3120
125	448	3111
126	451	3102
127	453	3092
128	456	3085
129	459	3076
130	462	3067
131	465	3058
132	467	3050
133	470	3042
134	473	3035
135	476	3027
136	479	3020
137	482	3012
138	485	3005
139	487	2996
140	490	2988
141	493	2981
142	496	2974
143	499	2966
144	501	2959
145	504	2951
146	507	2943
147	510	2938
148	513	2931
149	515	2923
150	518	2916
151	521	2909
152	524	2901
153	527	2896
154	529	2888
155	532	2881
156	535	2875
157	538	2868
158	540	2861
159	543	2854
160	546	2849
161	549	2842
162	552	2836
163	555	2829
164	558	2824
165	560	2817
166	563	2811
167	566	2805
168	569	2799
169	572	2792
170	575	2787
171	577	2781
172	580	2775
173	583	2769
174	586	2763
175	588	2756
176	591	2751
177	595	2749
178	598	2744
179	601	2737
180	603	2731
181	606	2727
182	609	2722
183	612	2716
184	615	2710
185	618	2705
186	621	2700
187	623	2694
188	626	2688
189	629	2683
190	632	2677
191	634	2671
192	637	2666
193	640	2661
194	643	2655
195	646	2650
196	648	2644
197	651	2639
198	655	2637
199	657	2631
200	660	2626
201	663	2620
202	666	2615
203	668	2610
204	672	2606
205	674	2601
206	677	2595
207	680	2590
208	683	2585
209	686	2583
210	689	2578
211	692	2573
212	695	2568
213	697	2562
214	700	2558
215	703	2553
216	706	2548
217	709	2543
218	711	2538
219	715	2535
220	718	2531
221	720	2526
222	723	2521
223	726	2515
224	729	2511
225	732	2509
226	737	2512
227	742	2512
228	747	2517
229	752	2520
230	756	2518
231	760	2516
232	763	2514
233	767	2513
234	771	2512
235	779	2522
236	784	2525
237	794	2542
238	799	2544
239	803	2545
240	809	2549
241	814	2551
242	819	2552
243	824	2555
244	829	2557
245	833	2553
246	838	2555
247	843	2557
248	851	2567
249	857	2572
250	861	2570
251	866	2572
252	871	2573
253	876	2573
254	880	2573
255	885	2572
256	888	2569
257	893	2569
258	899	2572
259	904	2575
260	908	2573
261	913	2571
262	916	2568
263	920	2564
264	923	2561
265	926	2557
266	930	2553
267	933	2550
268	936	2546
269	940	2542
270	944	2539
271	947	2536
272	950	2532
273	954	2528
274	958	2527
275	961	2523
276	964	2518
277	967	2513
278	970	2508
279	973	2503
280	976	2498
281	979	2493
282	982	2488
283	984	2482
284	987	2477
285	990	2473
286	993	2468
287	996	2463
288	999	2458
289	1001	2453
290	1004	2448
291	1007	2443
292	1010	2438
293	1013	2433
